cpf,nome,cargo,data_admissao,cnpj_empresa
22280567316,Funcionario 98,Cargo 9,2016-07-01 00:00:00,80699840108863
77321735610,Funcionario 99,Cargo 8,2015-09-03 00:00:00,80699840108863
43597340271,Funcionario 100,Cargo 3,2021-07-16 00:00:00,80699840108863
17534355968,Funcionario 101,Cargo 6,2021-10-02 00:00:00,80699840108863
38394232387,Funcionario 102,Cargo 5,2015-09-26 00:00:00,80699840108863
31615981878,Funcionario 103,Cargo 7,2017-01-07 00:00:00,80699840108863
23082509338,Funcionario 104,Cargo 8,2021-03-11 00:00:00,80699840108863
85999098773,Funcionario 105,Cargo 2,2016-10-10 00:00:00,80699840108863
55881135123,Funcionario 106,Cargo 4,2023-09-27 00:00:00,80699840108863
39716657069,Funcionario 107,Cargo 6,2016-05-21 00:00:00,80699840108863
85008338749,Funcionario 108,Cargo 2,2013-10-31 00:00:00,80699840108863
80246484842,Funcionario 109,Cargo 5,2019-06-18 00:00:00,80699840108863
75746676469,Funcionario 110,Cargo 2,2018-11-05 00:00:00,80699840108863
12578937639,Funcionario 111,Cargo 4,2020-10-15 00:00:00,80699840108863
84157841325,Funcionario 112,Cargo 7,2020-06-03 00:00:00,80699840108863
80897252326,Funcionario 113,Cargo 4,2015-07-04 00:00:00,80699840108863
38300128802,Funcionario 114,Cargo 9,2021-03-04 00:00:00,80699840108863
83212111400,Funcionario 115,Cargo 5,2014-07-13 00:00:00,80699840108863
20768353422,Funcionario 116,Cargo 2,2020-12-27 00:00:00,80699840108863
64319846014,Funcionario 117,Cargo 5,2023-06-05 00:00:00,80699840108863
19708450408,Funcionario 118,Cargo 3,2016-06-08 00:00:00,80699840108863
13537848191,Funcionario 119,Cargo 8,2019-09-07 00:00:00,80699840108863
34052397324,Funcionario 120,Cargo 3,2013-12-02 00:00:00,80699840108863
15249565252,Funcionario 121,Cargo 6,2014-08-28 00:00:00,80699840108863
80746985254,Funcionario 122,Cargo 10,2017-03-24 00:00:00,80699840108863
13190317512,Funcionario 123,Cargo 10,2015-02-21 00:00:00,80699840108863
22907789866,Funcionario 124,Cargo 3,2015-04-04 00:00:00,80699840108863
64584616254,Funcionario 125,Cargo 3,2016-04-12 00:00:00,80699840108863
17878338461,Funcionario 126,Cargo 6,2020-01-17 00:00:00,80699840108863
43814116906,Funcionario 127,Cargo 5,2021-12-20 00:00:00,80699840108863
97385270710,Funcionario 128,Cargo 5,2022-12-25 00:00:00,80699840108863
14669477078,Funcionario 129,Cargo 7,2018-05-28 00:00:00,80699840108863
60270369555,Funcionario 130,Cargo 10,2018-05-02 00:00:00,80699840108863
82272121109,Funcionario 131,Cargo 6,2015-03-01 00:00:00,80699840108863
95514984679,Funcionario 132,Cargo 9,2015-07-14 00:00:00,80699840108863
91086072119,Funcionario 133,Cargo 6,2016-09-27 00:00:00,80699840108863
31398463654,Funcionario 134,Cargo 4,2023-03-13 00:00:00,80699840108863
19282854329,Funcionario 135,Cargo 5,2014-01-27 00:00:00,80699840108863
68994250352,Funcionario 136,Cargo 8,2021-04-01 00:00:00,80699840108863
97673945761,Funcionario 137,Cargo 1,2019-08-26 00:00:00,80699840108863
22585164797,Funcionario 138,Cargo 4,2021-10-08 00:00:00,80699840108863
69930272148,Funcionario 139,Cargo 2,2022-01-25 00:00:00,80699840108863
83174207093,Funcionario 140,Cargo 8,2018-02-21 00:00:00,80699840108863
15240743593,Funcionario 141,Cargo 6,2020-03-30 00:00:00,80699840108863
82049776040,Funcionario 142,Cargo 4,2018-01-20 00:00:00,80699840108863
63886127662,Funcionario 143,Cargo 1,2021-01-11 00:00:00,80699840108863
64886911394,Funcionario 144,Cargo 10,2019-02-08 00:00:00,80699840108863
21596437762,Funcionario 145,Cargo 5,2023-10-11 00:00:00,80699840108863
94828288880,Funcionario 146,Cargo 2,2014-01-04 00:00:00,80699840108863
64308331710,Funcionario 147,Cargo 5,2020-06-17 00:00:00,80699840108863
39530775793,Funcionario 148,Cargo 8,2019-12-27 00:00:00,80699840108863
33385192970,Funcionario 149,Cargo 6,2013-11-15 00:00:00,80699840108863
31055390136,Funcionario 150,Cargo 9,2018-08-06 00:00:00,80699840108863
69573611146,Funcionario 151,Cargo 8,2014-10-31 00:00:00,80699840108863
83053165622,Funcionario 152,Cargo 4,2021-05-05 00:00:00,80699840108863
88277645766,Funcionario 153,Cargo 1,2021-07-15 00:00:00,80699840108863
46569449477,Funcionario 154,Cargo 6,2014-09-07 00:00:00,80699840108863
24208770622,Funcionario 155,Cargo 7,2014-02-18 00:00:00,80699840108863
27075515156,Funcionario 156,Cargo 6,2013-12-23 00:00:00,80699840108863
68847485910,Funcionario 157,Cargo 2,2016-07-09 00:00:00,80699840108863
76321203083,Funcionario 158,Cargo 7,2016-07-01 00:00:00,80699840108863
88635175176,Funcionario 159,Cargo 7,2022-04-02 00:00:00,80699840108863
96408253781,Funcionario 160,Cargo 10,2015-02-01 00:00:00,80699840108863
98657162742,Funcionario 161,Cargo 1,2022-12-20 00:00:00,80699840108863
27568963705,Funcionario 162,Cargo 2,2022-08-31 00:00:00,80699840108863
39262649062,Funcionario 163,Cargo 4,2018-11-01 00:00:00,80699840108863
28078665435,Funcionario 164,Cargo 3,2021-11-07 00:00:00,80699840108863
93329623242,Funcionario 165,Cargo 9,2020-11-07 00:00:00,80699840108863
82977990218,Funcionario 166,Cargo 9,2019-06-17 00:00:00,80699840108863
84782531577,Funcionario 167,Cargo 9,2014-03-20 00:00:00,80699840108863
53191801825,Funcionario 168,Cargo 6,2021-01-02 00:00:00,80699840108863
38641297113,Funcionario 169,Cargo 4,2021-03-07 00:00:00,80699840108863
99378284401,Funcionario 170,Cargo 2,2018-09-27 00:00:00,80699840108863
33529596104,Funcionario 171,Cargo 5,2021-06-12 00:00:00,80699840108863
36378752723,Funcionario 172,Cargo 2,2013-11-08 00:00:00,80699840108863
87734905340,Funcionario 173,Cargo 1,2019-08-19 00:00:00,80699840108863
43661440582,Funcionario 174,Cargo 7,2021-07-07 00:00:00,80699840108863
53917129523,Funcionario 175,Cargo 2,2016-12-21 00:00:00,80699840108863
39142704740,Funcionario 176,Cargo 4,2020-11-19 00:00:00,80699840108863
26561663588,Funcionario 177,Cargo 1,2017-04-25 00:00:00,80699840108863
14919890626,Funcionario 178,Cargo 1,2018-10-27 00:00:00,80699840108863
62200635647,Funcionario 179,Cargo 1,2014-11-22 00:00:00,80699840108863
90444814156,Funcionario 180,Cargo 6,2018-01-10 00:00:00,80699840108863
71607405100,Funcionario 181,Cargo 3,2015-03-30 00:00:00,80699840108863
99976360140,Funcionario 182,Cargo 8,2021-08-25 00:00:00,80699840108863
92289074965,Funcionario 183,Cargo 1,2021-04-30 00:00:00,80699840108863
10701241586,Funcionario 184,Cargo 1,2018-11-06 00:00:00,80699840108863
65166140291,Funcionario 185,Cargo 5,2015-08-31 00:00:00,80699840108863
45661716269,Funcionario 186,Cargo 5,2022-10-15 00:00:00,80699840108863
72687732548,Funcionario 187,Cargo 8,2014-01-10 00:00:00,80699840108863
89780765170,Funcionario 188,Cargo 1,2014-04-08 00:00:00,80699840108863
19071427569,Funcionario 189,Cargo 5,2017-10-29 00:00:00,80699840108863
55038536721,Funcionario 190,Cargo 6,2019-12-02 00:00:00,80699840108863
38706924901,Funcionario 191,Cargo 10,2020-03-16 00:00:00,80699840108863
79358966019,Funcionario 192,Cargo 3,2021-07-19 00:00:00,80699840108863
68398233963,Funcionario 193,Cargo 1,2020-11-17 00:00:00,80699840108863
39917305078,Funcionario 194,Cargo 4,2016-08-25 00:00:00,80699840108863
40182762508,Funcionario 195,Cargo 8,2017-01-02 00:00:00,80699840108863
69328586533,Funcionario 196,Cargo 5,2019-11-27 00:00:00,80699840108863
57567037348,Funcionario 197,Cargo 9,2014-05-09 00:00:00,80699840108863
38872525449,Funcionario 198,Cargo 7,2020-03-02 00:00:00,80699840108863
28600785583,Funcionario 199,Cargo 8,2016-04-05 00:00:00,80699840108863
14083557822,Funcionario 200,Cargo 9,2015-01-29 00:00:00,80699840108863
85222849044,Funcionario 201,Cargo 10,2017-07-17 00:00:00,80699840108863
98156397043,Funcionario 202,Cargo 7,2019-12-10 00:00:00,80699840108863
93754935720,Funcionario 203,Cargo 8,2018-04-24 00:00:00,80699840108863
40052398056,Funcionario 204,Cargo 4,2013-11-11 00:00:00,80699840108863
53773439395,Funcionario 205,Cargo 3,2018-03-10 00:00:00,80699840108863
13765880172,Funcionario 206,Cargo 1,2014-07-01 00:00:00,80699840108863
11071221684,Funcionario 207,Cargo 9,2020-12-13 00:00:00,80699840108863
61489960522,Funcionario 208,Cargo 3,2022-07-25 00:00:00,80699840108863
69445909582,Funcionario 209,Cargo 3,2016-01-05 00:00:00,80699840108863
42001666258,Funcionario 210,Cargo 9,2016-01-28 00:00:00,80699840108863
32229533502,Funcionario 211,Cargo 1,2014-04-22 00:00:00,80699840108863
28348378315,Funcionario 212,Cargo 6,2016-05-10 00:00:00,80699840108863
18895200192,Funcionario 213,Cargo 7,2016-03-19 00:00:00,80699840108863
75440120891,Funcionario 214,Cargo 5,2017-07-31 00:00:00,80699840108863
55574062549,Funcionario 215,Cargo 10,2023-08-15 00:00:00,80699840108863
52110771890,Funcionario 216,Cargo 5,2016-10-19 00:00:00,80699840108863
15852235197,Funcionario 217,Cargo 2,2017-05-11 00:00:00,80699840108863
82815846241,Funcionario 218,Cargo 5,2020-08-23 00:00:00,80699840108863
19452144969,Funcionario 219,Cargo 3,2019-08-26 00:00:00,80699840108863
72325879292,Funcionario 220,Cargo 5,2019-06-13 00:00:00,80699840108863
72957000433,Funcionario 221,Cargo 6,2018-06-06 00:00:00,80699840108863
88095993747,Funcionario 222,Cargo 5,2018-03-08 00:00:00,80699840108863
72596268383,Funcionario 223,Cargo 9,2014-05-17 00:00:00,80699840108863
45737994061,Funcionario 224,Cargo 8,2016-10-08 00:00:00,80699840108863
29050526865,Funcionario 225,Cargo 1,2014-06-23 00:00:00,80699840108863
73449493948,Funcionario 226,Cargo 4,2021-07-31 00:00:00,80699840108863
66091418749,Funcionario 227,Cargo 5,2023-02-20 00:00:00,80699840108863
79342975401,Funcionario 228,Cargo 4,2021-09-24 00:00:00,80699840108863
84910813420,Funcionario 229,Cargo 7,2023-01-28 00:00:00,80699840108863
37025345014,Funcionario 230,Cargo 4,2021-04-01 00:00:00,80699840108863
82570598585,Funcionario 231,Cargo 6,2017-04-25 00:00:00,80699840108863
69364890693,Funcionario 232,Cargo 6,2015-05-04 00:00:00,80699840108863
52166270231,Funcionario 233,Cargo 4,2016-01-03 00:00:00,80699840108863
62823159680,Funcionario 234,Cargo 7,2015-08-08 00:00:00,80699840108863
89869673148,Funcionario 235,Cargo 8,2014-08-12 00:00:00,80699840108863
76455077458,Funcionario 236,Cargo 1,2017-02-04 00:00:00,80699840108863
52205106354,Funcionario 237,Cargo 7,2018-11-13 00:00:00,80699840108863
71554196695,Funcionario 238,Cargo 8,2016-05-09 00:00:00,80699840108863
39356901719,Funcionario 239,Cargo 1,2021-07-28 00:00:00,80699840108863
57750839744,Funcionario 240,Cargo 5,2018-01-17 00:00:00,80699840108863
17962817442,Funcionario 241,Cargo 4,2014-07-27 00:00:00,80699840108863
47558745727,Funcionario 242,Cargo 4,2017-04-19 00:00:00,80699840108863
48034535785,Funcionario 243,Cargo 6,2020-07-11 00:00:00,80699840108863
63648132825,Funcionario 244,Cargo 1,2023-05-20 00:00:00,80699840108863
99998864418,Funcionario 245,Cargo 4,2014-08-05 00:00:00,80699840108863
93591376625,Funcionario 246,Cargo 4,2017-05-25 00:00:00,80699840108863
88885425360,Funcionario 247,Cargo 7,2016-01-09 00:00:00,80699840108863
59063710355,Funcionario 248,Cargo 7,2019-06-25 00:00:00,80699840108863
35097862467,Funcionario 249,Cargo 3,2021-01-18 00:00:00,80699840108863
97853351849,Funcionario 250,Cargo 4,2020-11-09 00:00:00,80699840108863
34996112743,Funcionario 251,Cargo 7,2014-05-12 00:00:00,80699840108863
88878323039,Funcionario 252,Cargo 8,2021-08-29 00:00:00,80699840108863
56423941640,Funcionario 253,Cargo 10,2015-07-17 00:00:00,80699840108863
43004322130,Funcionario 254,Cargo 7,2014-01-17 00:00:00,80699840108863
10012621553,Funcionario 255,Cargo 6,2019-12-24 00:00:00,80699840108863
66423433101,Funcionario 256,Cargo 6,2014-06-25 00:00:00,80699840108863
37036976748,Funcionario 257,Cargo 7,2022-01-16 00:00:00,80699840108863
16204921668,Funcionario 258,Cargo 4,2019-07-30 00:00:00,80699840108863
94353014518,Funcionario 259,Cargo 4,2019-09-08 00:00:00,80699840108863
84028060966,Funcionario 260,Cargo 10,2020-11-10 00:00:00,80699840108863
16207444663,Funcionario 261,Cargo 7,2015-07-04 00:00:00,80699840108863
50428440607,Funcionario 262,Cargo 4,2017-07-14 00:00:00,80699840108863
73282502632,Funcionario 263,Cargo 1,2016-04-10 00:00:00,80699840108863
10477074291,Funcionario 264,Cargo 2,2016-02-11 00:00:00,80699840108863
90647826198,Funcionario 265,Cargo 2,2018-08-03 00:00:00,80699840108863
87452519735,Funcionario 266,Cargo 3,2014-12-20 00:00:00,80699840108863
68016894668,Funcionario 267,Cargo 2,2017-12-04 00:00:00,80699840108863
21913481196,Funcionario 268,Cargo 8,2015-06-30 00:00:00,80699840108863
10561559055,Funcionario 269,Cargo 1,2022-12-20 00:00:00,80699840108863
40938678118,Funcionario 270,Cargo 9,2022-04-26 00:00:00,80699840108863
84116678763,Funcionario 271,Cargo 6,2015-03-16 00:00:00,80699840108863
78379864426,Funcionario 272,Cargo 9,2021-03-18 00:00:00,80699840108863
75688143250,Funcionario 273,Cargo 6,2020-03-10 00:00:00,80699840108863
46885083997,Funcionario 274,Cargo 5,2015-08-11 00:00:00,80699840108863
15818984899,Funcionario 275,Cargo 1,2020-02-04 00:00:00,80699840108863
26441506156,Funcionario 276,Cargo 8,2016-04-14 00:00:00,80699840108863
16531431581,Funcionario 277,Cargo 9,2019-12-13 00:00:00,80699840108863
98271710573,Funcionario 278,Cargo 4,2020-03-11 00:00:00,80699840108863
99973788991,Funcionario 279,Cargo 5,2017-07-13 00:00:00,80699840108863
60738272410,Funcionario 280,Cargo 10,2017-03-03 00:00:00,80699840108863
65277480631,Funcionario 281,Cargo 4,2019-10-16 00:00:00,80699840108863
39901015269,Funcionario 282,Cargo 4,2015-08-21 00:00:00,80699840108863
56843438669,Funcionario 283,Cargo 7,2021-08-12 00:00:00,80699840108863
70914962835,Funcionario 284,Cargo 1,2014-10-04 00:00:00,80699840108863
